t=2025-07-26T14:44:19+0530 lvl=info msg="no configuration paths supplied"
t=2025-07-26T14:44:19+0530 lvl=info msg="using configuration at default config path" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml"
t=2025-07-26T14:44:19+0530 lvl=info msg="open config file" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-07-26T14:44:19+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-07-26T14:44:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-07-26T14:44:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-07-26T14:47:06+0530 lvl=info msg="join connections" obj=join id=d48edb45e848 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:06+0530 lvl=info msg="join connections" obj=join id=1ac36398542f l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:06+0530 lvl=info msg="join connections" obj=join id=e8d3ce9bb0c5 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:06+0530 lvl=info msg="join connections" obj=join id=df3f0aa5f7f0 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:06+0530 lvl=info msg="join connections" obj=join id=d54cf7054684 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:06+0530 lvl=info msg="join connections" obj=join id=3db15d256607 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:06+0530 lvl=info msg="join connections" obj=join id=bcba99afe720 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:06+0530 lvl=info msg="join connections" obj=join id=02b063ada499 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:06+0530 lvl=info msg="join connections" obj=join id=adc39a211e02 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:14+0530 lvl=info msg="join connections" obj=join id=1fdc649b7f89 l=[::1]:9040 r=104.28.255.239:20571
t=2025-07-26T14:47:21+0530 lvl=info msg="join connections" obj=join id=265ed0226122 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:48864
t=2025-07-26T14:47:21+0530 lvl=info msg="join connections" obj=join id=260634a2cc53 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:48864
t=2025-07-26T14:48:04+0530 lvl=info msg="join connections" obj=join id=2bf4db0b3367 l=[::1]:9040 r=140.82.115.154:16498
t=2025-07-26T14:48:17+0530 lvl=info msg="join connections" obj=join id=7199f341ecd7 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:18400
t=2025-07-26T14:48:21+0530 lvl=info msg="join connections" obj=join id=4e77b6eac6ed l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:18400
t=2025-07-26T14:48:21+0530 lvl=info msg="join connections" obj=join id=93b3687695f1 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:18400
t=2025-07-26T14:48:21+0530 lvl=info msg="join connections" obj=join id=3652825b9178 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:18400
t=2025-07-26T14:48:21+0530 lvl=info msg="join connections" obj=join id=582e8d8c082f l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:18400
t=2025-07-26T14:48:21+0530 lvl=info msg="join connections" obj=join id=fe709fb237c5 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:18400
t=2025-07-26T14:48:21+0530 lvl=info msg="join connections" obj=join id=f0fb515a32c0 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:18400
t=2025-07-26T14:48:27+0530 lvl=info msg="join connections" obj=join id=002822b7cae0 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:62606
t=2025-07-26T14:48:32+0530 lvl=info msg="join connections" obj=join id=3383fd679d7d l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:35936
t=2025-07-26T14:48:38+0530 lvl=info msg="join connections" obj=join id=f44dfac21aff l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:35202
t=2025-07-26T14:48:44+0530 lvl=info msg="join connections" obj=join id=20f53d9c67a4 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:35216
t=2025-07-26T14:48:51+0530 lvl=info msg="join connections" obj=join id=3ed4c3c65fb7 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:9192
t=2025-07-26T14:48:56+0530 lvl=info msg="join connections" obj=join id=944e044cd0f4 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:9200
t=2025-07-26T14:49:02+0530 lvl=info msg="join connections" obj=join id=0c846427176f l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:49068
t=2025-07-26T14:49:08+0530 lvl=info msg="join connections" obj=join id=a573d2b83f13 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:50914
t=2025-07-26T14:49:14+0530 lvl=info msg="join connections" obj=join id=acec70a8683c l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:50926
t=2025-07-26T14:49:21+0530 lvl=info msg="join connections" obj=join id=ff92a6d2ca0f l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:26566
t=2025-07-26T14:49:26+0530 lvl=info msg="join connections" obj=join id=86bb98745c43 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:26570
